PULS	CAZYS	Class	Order	Family	Specie	Ecosystem	mag
3300029117_11	39	29	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera sp2	Human	3300029117_11
3300029121_11	86	17	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		Human	3300029121_11
3300029128_17	76	18	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029128_17
3300029187_9	73	18	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029187_9
3300029190_10	37	32	Clostridia	Lachnospirales	Lachnospiraceae	GCA_000435655.1	Human	3300029190_10
3300029190_11	85	19	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029190_11
3300029191_5	54	79	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300029191_5
3300029236_16	45	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029236_16
3300029237_9	31	60	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	Human	3300029237_9
3300029241_10	42	57	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus eutactus_A	Human	3300029241_10
3300029243_16	47	41	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera elsdenii	Human	3300029243_16
3300029245_22	36	36	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera elsdenii	Human	3300029245_22
3300029246_13	30	36	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera elsdenii	Human	3300029246_13
3300029254_6	30	64	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus eutactus	Human	3300029254_6
3300029315_12	31	29	Negativicutes	Veillonellales	Megasphaeraceae	GCF_001546855.1	Human	3300029315_12
3300029323_5	115	20	Clostridia	Lachnospirales	Lachnospiraceae	GCA_900066785.1	Human	3300029323_5
3300029325_13	48	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029325_13
3300029326_12	35	35	Clostridia	Lachnospirales	Lachnospiraceae	GCA_000433075.1	Human	3300029326_12
3300029328_12	47	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029328_12
3300029329_11	65	114	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium ramosum	Human	3300029329_11
3300029331_18	57	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029331_18
3300029333_17	38	32	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera elsdenii	Human	3300029333_17
3300029334_16	41	29	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus fermentans	Human	3300029334_16
3300029335_17	34	32	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera elsdenii	Human	3300029335_17
3300029337_24	56	19	Negativicutes	Veillonellales	Veillonellaceae	Veillonella parvula	Human	3300029337_24
3300029339_25	50	22	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029339_25
3300029340_14	36	90	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_F champanellensis	Human	3300029340_14
3300029340_27	57	41	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus_B ruminis	Human	3300029340_27
3300029354_20	42	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029354_20
3300029359_14	40	34	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera sp2	Human	3300029359_14
3300029366_3	52	131	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium ramosum	Human	3300029366_3
3300029368_11	51	48	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira rogosae	Human	3300029368_11
3300029373_16	33	29	Negativicutes	Veillonellales	Megasphaeraceae	GCF_001546855.1	Human	3300029373_16
3300029379_13	37	85	Clostridia	Oscillospirales	Ruminococcaceae		Human	3300029379_13
3300029383_5	54	130	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium ramosum	Human	3300029383_5
3300029384_13	33	84	Clostridia	Oscillospirales	Ruminococcaceae		Human	3300029384_13
3300029385_12	33	83	Clostridia	Oscillospirales	Ruminococcaceae		Human	3300029385_12
3300029388_19	38	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029388_19
3300029390_9	38	68	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	Human	3300029390_9
3300029391_16	36	32	Negativicutes	Veillonellales	Megasphaeraceae		Human	3300029391_16
3300029394_26	40	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029394_26
3300029396_10	31	119	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium ramosum	Human	3300029396_10
3300029400_14	58	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029400_14
3300029404_20	39	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029404_20
3300029410_15	32	29	Negativicutes	Veillonellales	Megasphaeraceae	GCF_001546855.1	Human	3300029410_15
3300029412_18	46	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029412_18
3300029419_16	32	29	Negativicutes	Veillonellales	Megasphaeraceae	GCF_001546855.1	Human	3300029419_16
3300029423_16	29	21	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029423_16
3300029431_13	37	32	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera elsdenii	Human	3300029431_13
3300029433_13	41	32	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera elsdenii	Human	3300029433_13
3300029437_20	46	21	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029437_20
3300029467_16	77	23	Negativicutes	Acidaminococcales	Acidaminococcaceae		Human	3300029467_16
3300029469_11	62	19	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029469_11
3300029475_16	69	23	Negativicutes	Acidaminococcales	Acidaminococcaceae		Human	3300029475_16
3300029487_10	31	64	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	Human	3300029487_10
3300029504_9	54	17	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029504_9
3300029507_13	95	18	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029507_13
3300029508_9	64	93	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	GCF_000752095.2	Human	3300029508_9
3300029510_10	33	49	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium prausnitzii_D	Human	3300029510_10
3300029512_12	66	18	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029512_12
3300029514_11	68	30	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera sp2	Human	3300029514_11
3300029518_9	83	17	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029518_9
3300029533_8	45	29	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera sp2	Human	3300029533_8
3300029546_11	29	66	Clostridia	Lachnospirales	Lachnospiraceae	GCA_000437735.1	Human	3300029546_11
3300029562_5	53	70	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300029562_5
3300029571_15	67	18	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029571_15
3300029577_21	76	17	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029577_21
3300029581_8	28	63	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus eutactus_A	Human	3300029581_8
3300029584_19	85	18	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029584_19
3300029594_5	64	75	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		Human	3300029594_5
3300029613_23	84	17	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029613_23
3300029615_15	38	24	Bacteroidia	Bacteroidales	Rikenellaceae	Tidjanibacter massiliensis	Human	3300029615_15
3300029634_9	37	127	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium ramosum	Human	3300029634_9
3300029653_10	39	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029653_10
3300029656_6	44	75	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		Human	3300029656_6
3300029664_12	59	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029664_12
3300029682_12	73	18	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029682_12
3300029686_16	39	67	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	Human	3300029686_16
3300029686_5	35	71	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300029686_5
3300029710_15	35	20	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella wadsworthensis	Human	3300029710_15
3300029714_15	34	21	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Sutterella wadsworthensis	Human	3300029714_15
3300029719_10	43	74	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300029719_10
3300029724_10	29	73	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	Human	3300029724_10
3300029724_17	71	17	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029724_17
3300029731_11	48	78	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	GCF_000752095.2	Human	3300029731_11
3300029745_9	46	78	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300029745_9
3300029750_12	36	29	Negativicutes	Veillonellales	Megasphaeraceae	GCF_001546855.1	Human	3300029750_12
3300029754_18	57	23	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029754_18
3300029759_17	32	29	Negativicutes	Veillonellales	Megasphaeraceae	GCF_001546855.1	Human	3300029759_17
3300029764_14	35	29	Negativicutes	Veillonellales	Megasphaeraceae	GCF_001546855.1	Human	3300029764_14
3300029765_16	55	29	Negativicutes	Veillonellales	Megasphaeraceae	GCF_001546855.1	Human	3300029765_16
3300029771_22	27	22	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus intestini	Human	3300029771_22
3300029776_12	38	32	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera elsdenii	Human	3300029776_12
3300029814_12	75	19	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	GCA_000980495.1	Human	3300029814_12
3300029816_17	42	34	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera sp2	Human	3300029816_17
3300029839_14	100	62	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	GCA_000437715.1	Human	3300029839_14
3300029841_7	88	83	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300029841_7
3300029862_7	65	78	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300029862_7
3300029875_13	40	76	Clostridia	Oscillospirales	Ruminococcaceae		Human	3300029875_13
3300029888_3	27	82	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia coli	Human	3300029888_3
3300029934_8	39	63	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter rectalis	Human	3300029934_8
