MAGs	PULS	CAZY	Ecosystem	Class	Order	Family
3300017560_9	47	129	Terrestrial	Bacteroidia	Chitinophagales	Chitinophagaceae
3300017650_9	0	153	Terrestrial	Bacteroidia	Chitinophagales	Chitinophagaceae
3300018426_34	95	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300018933_7	33	214	Terrestrial	Bacilli	Paenibacillales	Paenibacillaceae
3300019371_8	70	64	Mammals	Clostridia	Lachnospirales	Lachnospiraceae
3300019373_10	80	64	Mammals	Clostridia	Lachnospirales	Lachnospiraceae
3300019861_21	55	57	Lab_enrichment	AC1	AC1	EtOH8
3300020025_2	40	14	Terrestrial	Methanosarcinia	Methanosarcinales	Methanosarcinaceae
3300020051_21	47	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300020052_28	39	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300020055_21	47	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300020056_35	48	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300020168_29	70	25	Aquatic	Deinococci	Deinococcales	Thermaceae
3300020176_29	38	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300020183_29	20	52	Aquatic	Bacteroidia	Cytophagales	Cyclobacteriaceae
3300020189_33	43	25	Aquatic	Deinococci	Deinococcales	Thermaceae
3300020190_37	22	53	Aquatic	Bacteroidia	Cytophagales	Cyclobacteriaceae
3300020426_2	104	77	Aquatic	Bacteroidia	Flavobacteriales	Cryomorphaceae
3300020444_3	34	76	Aquatic	Bacteroidia	Flavobacteriales	Cryomorphaceae
3300020458_5	68	32	Aquatic	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae
3300020578_45	13	53	Aquatic	Bacteroidia	Cytophagales	Cyclobacteriaceae
3300020601_30	35	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300021091_44	10	54	Aquatic	Bacteroidia	Cytophagales	Cyclobacteriaceae
3300021310_13	27	118	Mammals	Bacteroidia	Bacteroidales	Paludibacteraceae
3300021310_15	18	85	Mammals	Clostridia	Oscillospirales	Ruminococcaceae
3300021311_10	23	118	Mammals	Bacteroidia	Bacteroidales	Paludibacteraceae
3300021318_9	42	112	Mammals	Bacteroidia	Bacteroidales	Paludibacteraceae
3300021319_17	15	88	Mammals	Clostridia	Oscillospirales	Ruminococcaceae
3300021326_11	25	118	Mammals	Bacteroidia	Bacteroidales	Paludibacteraceae
3300021400_58	17	51	Mammals	Spirochaetia	Treponematales	Treponemataceae
3300021400_59	53	88	Mammals	Clostridia	Oscillospirales	Ruminococcaceae
3300021400_61	31	34	Mammals	Negativicutes	Veillonellales	Megasphaeraceae
3300021414_6	8	92	Aquatic	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300021469_7	54	37	Aquatic	Thermotogae	Thermotogales	Thermotogaceae
3300021843_52	64	8	Bioreactor	Methanomicrobia	Methanomicrobiales	Methanoregulaceae
3300022137_10	40	19	Bioreactor	Methanobacteria	Methanobacteriales	Methanobacteriaceae
3300022137_9	42	46	Bioreactor	Bacilli	Lactobacillales	Lactobacillaceae
3300022736_3	3	149	Arthropoda	Bacteroidia	Chitinophagales	Chitinophagaceae
3300022736_6	9	93	Arthropoda	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300022742_8	14	94	Arthropoda	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300022823_4	3	149	Arthropoda	Bacteroidia	Chitinophagales	Chitinophagaceae
3300022823_7	10	93	Arthropoda	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300022849_3	90	162	Terrestrial	Bacteroidia	Bacteroidales	Paludibacteraceae
3300022861_4	68	161	Terrestrial	Bacteroidia	Bacteroidales	Paludibacteraceae
3300023179_36	87	27	Aquatic	Alphaproteobacteria	UBA998	UBA3002
3300023187_9	26	61	Wastewater	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300023225_6	10	93	Arthropoda	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300023228_3	76	159	Terrestrial	Bacteroidia	Bacteroidales	Paludibacteraceae
3300023235_4	12	81	Aquatic	Rhodothermia	Balneolales	Balneolaceae
3300024038_3	4	149	Arthropoda	Bacteroidia	Chitinophagales	Chitinophagaceae
3300024038_6	13	94	Arthropoda	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300024040_10	39	37	Arthropoda	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300024040_9	23	95	Arthropoda	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300024042_8	14	93	Arthropoda	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300024043_10	38	37	Arthropoda	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300024043_9	18	94	Arthropoda	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300024218_5	3	149	Arthropoda	Bacteroidia	Chitinophagales	Chitinophagaceae
3300024218_9	11	93	Arthropoda	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300024276_2	32	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024277_5	35	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024280_5	37	25	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024282_5	42	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024285_4	45	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024298_3	33	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024309_10	9	93	Arthropoda	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300024311_6	42	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024312_7	82	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024320_11	48	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024326_13	38	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024328_14	37	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024350_5	33	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024354_4	36	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024356_4	39	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024357_5	35	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024358_3	34	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024359_9	36	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024492_1	33	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024494_3	41	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024501_4	37	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024506_5	34	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024507_5	37	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024509_6	35	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024512_1	32	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024514_4	31	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300024515_6	36	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300025039_6	49	38	Aquatic	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae
3300025061_11	38	21	Aquatic	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
3300025094_19	7	80	Aquatic	Rhodothermia	Rhodothermales	Rhodothermaceae
3300025105_26	7	79	Aquatic	Rhodothermia	Rhodothermales	Rhodothermaceae
3300025254_6	7	111	Plants	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300025280_2	76	81	Aquatic	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300025287_5	49	40	Aquatic	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
3300025291_6	44	100	Plants	Bacteroidia	Flavobacteriales	Weeksellaceae
3300025292_12	11	71	Plants	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
3300025347_11	51	51	Aquatic	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae
3300025347_5	20	80	Aquatic	Bacteroidia	Cytophagales	Cyclobacteriaceae
3300025471_17	126	60	Wastewater	Thermotogae	Thermotogales	Fervidobacteriaceae
3300025520_10	16	55	Terrestrial	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300025528_13	37	126	Lab_enrichment	Bacteroidia	Chitinophagales	Chitinophagaceae
3300025529_20	64	48	Lab_enrichment	Bacilli	Bacillales	Caldibacillaceae
3300025530_17	30	123	Lab_enrichment	Bacteroidia	Chitinophagales	Chitinophagaceae
3300025530_4	74	58	Lab_enrichment	Alphaproteobacteria	Azospirillales	Inquilinaceae
3300025536_9	49	41	Terrestrial	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
3300025542_2	83	49	Lab_enrichment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300025546_32	56	77	Aquatic	Dictyoglomia	Dictyoglomales	Dictyoglomaceae
3300025572_22	22	55	Lab_enrichment	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300025603_12	55	33	Aquatic	Bacteroidia	NS11-12g	UBA955
3300025624_1	46	51	Lab_enrichment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300025651_4	55	51	Lab_enrichment	Bacteroidia	Flavobacteriales	Weeksellaceae
3300025686_45	36	19	Wastewater	Synergistia	Synergistales	Thermovirgaceae
3300025775_19	7	79	Aquatic	Rhodothermia	Rhodothermales	Rhodothermaceae
3300025846_9	100	139	Terrestrial	Bacteroidia	Bacteroidales	Paludibacteraceae
3300025853_4	23	51	Aquatic	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae
3300026096_2	51	72	Aquatic	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300026119_16	58	27	Aquatic	Bacteroidia	Flavobacteriales	UBA7430
3300026121_15	253	86	Plants	Acidobacteriae	Acidobacteriales	Koribacteraceae
3300026279_35	41	2	Aquatic	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae
3300026287_10	12	158	Wastewater	Bacteroidia	Chitinophagales	Chitinophagaceae
3300026288_11	29	153	Wastewater	Bacteroidia	Chitinophagales	Chitinophagaceae
3300026288_8	18	170	Wastewater	Bacteroidia	Chitinophagales	Chitinophagaceae
3300026290_54	45	21	Bioreactor	Synergistia	Synergistales	Synergistaceae
3300026302_16	48	66	Wastewater	Bacteroidia	NS11-12g	UKL13-3
3300026302_5	65	194	Wastewater	Bacteroidia	Cytophagales	Spirosomaceae
3300026459_7	44	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300026472_11	8	75	Plants	Bacteroidia	Flavobacteriales	Flavobacteriaceae
3300026473_6	35	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300026825_2	82	95	Microbial	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae
3300026875_1	7	60	Mammals	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae
3300026907_2	119	57	Lab_synthesis	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300026971_5	25	54	Lab_enrichment	Alphaproteobacteria	Rhizobiales	Devosiaceae
3300026972_5	32	84	Lab_enrichment	Actinobacteria	Actinomycetales	Microbacteriaceae
3300026980_4	13	87	Lab_enrichment	Bacteroidia	Cytophagales	Cyclobacteriaceae
3300027026_4	23	96	Lab_enrichment	Bacteroidia	Cytophagales	Cyclobacteriaceae
3300027043_5	105	32	Terrestrial	Methanosarcinia	Methanosarcinales	Methanosarcinaceae
3300027160_3	33	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300027162_7	37	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300027306_8	38	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300027309_2	21	58	Aquatic	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300027312_9	5	76	Plants	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
3300027319_4	9	93	Lab_enrichment	Rhodothermia	Rhodothermales	Rhodothermaceae
3300027322_5	12	90	Lab_enrichment	Rhodothermia	Rhodothermales	Rhodothermaceae
3300027323_20	37	9	Aquatic	Archaeoglobi	Archaeoglobales	Archaeoglobaceae
3300027323_36	38	7	Aquatic	Thermoplasmata	Acidiprofundales	JdFR-45
3300027339_2	63	36	Aquatic	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300027339_7	34	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300027342_6	15	90	Lab_enrichment	Rhodothermia	Rhodothermales	Rhodothermaceae
3300027503_17	34	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300027536_20	12	84	Lab_enrichment	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300027592_18	11	84	Lab_enrichment	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300027606_22	2	88	Plants	Actinobacteria	Actinomycetales	Cellulomonadaceae
3300027673_8	33	112	Wastewater	Bacteroidia	Cytophagales	Cyclobacteriaceae
3300027706_26	26	112	Terrestrial	Acidobacteriae	Acidobacteriales	Acidobacteriaceae
3300027719_11	85	60	Aquatic	Desulfobacteria	Desulfobacterales	Desulfobacteraceae
3300027739_5	60	76	Aquatic	Cyanobacteriia	Cyanobacteriales	Phormidiaceae
3300027739_7	92	60	Aquatic	Desulfobacteria	Desulfobacterales	Desulfobacteraceae
3300027796_14	51	45	Aquatic	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae
3300027800_15	81	60	Aquatic	Desulfobacteria	Desulfobacterales	Desulfobacteraceae
3300027850_47	119	53	Aquatic	Bacteroidia	Flavobacteriales	UA16
3300027863_91	98	107	Aquatic	Bacteroidia	Bacteroidales	Paludibacteraceae
3300027911_35	51	52	Aquatic	UBA5184	UBA5184	UBA5184
3300028066_2	36	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300028070_3	158	157	Terrestrial	Bacteroidia	Bacteroidales	Paludibacteraceae
3300028073_7	42	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300028083_2	32	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300028084_3	104	155	Terrestrial	Bacteroidia	Bacteroidales	Paludibacteraceae
3300028086_1	34	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300028087_3	126	151	Terrestrial	Bacteroidia	Bacteroidales	Paludibacteraceae
3300028091_6	38	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300028129_12	34	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300028258_5	43	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300028269_1	44	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300028275_6	36	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300028418_10	33	26	Aquatic	Deinococci	Deinococcales	Thermaceae
3300028569_14	243	106	Aquatic	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae
3300028582_23	84	35	Wastewater	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae
3300028654_9	43	15	Plants	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae
3300028912_1	38	81	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300028912_3	8	73	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300028912_4	11	46	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300028952_2	8	73	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300028954_2	31	70	Human	Bacilli	Lactobacillales	Enterococcaceae
3300028955_4	26	70	Human	Bacilli	Lactobacillales	Enterococcaceae
3300028960_6	70	33	Human	Coriobacteriia	Coriobacteriales	Coriobacteriaceae
3300028963_1	35	81	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300028963_3	50	67	Human	Bacilli	Erysipelotrichales	Erysipelotrichaceae
3300028965_5	48	57	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300028969_6	30	71	Human	Bacilli	Lactobacillales	Enterococcaceae
3300028981_3	25	76	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300028989_5	93	84	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300028992_5	81	67	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300028994_3	137	126	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300028996_5	43	47	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029003_3	24	76	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029005_7	18	68	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029009_6	26	72	Human	Bacilli	Lactobacillales	Enterococcaceae
3300029025_2	71	65	Human	Bacilli	Erysipelotrichales	Erysipelotrichaceae
3300029030_2	37	121	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029032_2	65	80	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029040_7	55	69	Human	Clostridia	Oscillospirales	DTU089
3300029044_11	51	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029044_14	64	43	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300029045_6	56	123	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029051_9	165	64	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029055_6	24	128	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029058_11	20	62	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029060_6	7	122	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029065_1	29	188	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300029065_2	78	69	Human	Bacilli	Lactobacillales	Enterococcaceae
3300029066_2	24	73	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029066_3	40	69	Human	Bacilli	Lactobacillales	Enterococcaceae
3300029068_5	64	67	Human	Bacilli	Lactobacillales	Enterococcaceae
3300029071_3	58	139	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029073_4	34	67	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029074_5	83	148	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029075_2	23	192	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300029078_1	15	191	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300029080_10	62	40	Human	Clostridia	Oscillospirales	Ruminococcaceae
3300029081_3	70	85	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029084_1	14	192	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300029084_3	25	77	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300029084_4	51	70	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029086_7	67	67	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029088_6	57	64	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300029091_7	46	66	Human	Bacilli	Erysipelotrichales	Erysipelotrichaceae
3300029102_5	29	123	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029103_8	46	64	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029111_10	55	18	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029117_11	39	29	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029120_18	11	57	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029121_11	86	17	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029123_15	16	64	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029128_17	76	18	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029136_10	9	122	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029136_14	12	61	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029187_9	73	18	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029190_10	37	32	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029190_11	85	19	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029191_5	54	79	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029197_7	13	57	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029203_16	15	57	Human	Clostridia	Oscillospirales	DTU089
3300029204_9	11	58	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029227_10	16	63	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029236_16	45	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029237_7	18	57	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029237_9	31	60	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029241_10	42	57	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029243_16	47	41	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029245_22	36	36	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029254_6	30	64	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029256_10	11	58	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029295_4	64	32	Human	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae
3300029297_21	5	68	Mammals	Bacteroidia	Bacteroidales	Rikenellaceae
3300029312_2	23	248	Human	Bacteroidia	Bacteroidales	Bacteroidaceae
3300029323_5	115	20	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029323_6	27	53	Human	Clostridia	Oscillospirales	Ruminococcaceae
3300029325_13	48	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029326_12	35	35	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029328_12	47	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029329_11	65	114	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029330_10	10	110	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029331_18	57	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029333_17	38	32	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029334_16	41	29	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029335_17	34	32	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029337_24	56	19	Human	Negativicutes	Veillonellales	Veillonellaceae
3300029339_25	50	22	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029340_14	36	90	Human	Clostridia	Oscillospirales	Ruminococcaceae
3300029340_27	57	41	Human	Bacilli	Lactobacillales	Lactobacillaceae
3300029354_20	42	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029356_18	3	57	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029359_14	40	34	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029366_3	52	131	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029368_11	51	48	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029373_10	22	81	Human	Clostridia	Oscillospirales	DTU089
3300029373_16	33	29	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029373_19	45	10	Human	Coriobacteriia	Coriobacteriales	Eggerthellaceae
3300029379_13	37	85	Human	Clostridia	Oscillospirales	Ruminococcaceae
3300029383_5	54	130	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029384_13	33	84	Human	Clostridia	Oscillospirales	Ruminococcaceae
3300029385_12	33	83	Human	Clostridia	Oscillospirales	Ruminococcaceae
3300029388_19	38	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029390_9	38	68	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029391_16	36	32	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029394_26	40	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029396_10	31	119	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029398_8	75	80	Human	Bacilli	Erysipelotrichales	Erysipelotrichaceae
3300029400_14	58	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029402_16	39	45	Human	Coriobacteriia	Coriobacteriales	Coriobacteriaceae
3300029404_20	39	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029412_18	46	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029412_19	45	10	Human	Coriobacteriia	Coriobacteriales	Eggerthellaceae
3300029414_15	3	57	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029417_10	10	117	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029419_11	33	81	Human	Clostridia	Oscillospirales	DTU089
3300029419_16	32	29	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029420_19	7	57	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029421_15	25	52	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029427_11	14	55	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029431_13	37	32	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029433_13	41	32	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029435_8	15	63	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029437_20	46	21	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029446_24	46	19	Wastewater	Synergistia	Synergistales	Thermovirgaceae
3300029453_4	25	61	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029462_12	22	47	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029467_16	77	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029469_11	62	19	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029475_16	69	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029487_10	31	64	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029490_14	12	118	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029494_32	48	11	Human	Methanobacteria	Methanobacteriales	Methanobacteriaceae
3300029504_9	54	17	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029507_13	95	18	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029508_9	64	93	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029510_16	12	45	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029512_12	66	18	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029514_11	68	30	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029518_9	83	17	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029522_7	17	100	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029523_19	40	21	Human	Synergistia	Synergistales	Dethiosulfovibrionaceae
3300029527_12	9	73	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029533_7	19	51	Human	Coriobacteriia	Coriobacteriales	Atopobiaceae
3300029533_8	45	29	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029538_19	38	34	Human	Coriobacteriia	Coriobacteriales	Coriobacteriaceae
3300029540_19	32	50	Human	Coriobacteriia	Coriobacteriales	Atopobiaceae
3300029541_17	37	42	Human	Coriobacteriia	Coriobacteriales	Coriobacteriaceae
3300029546_11	29	66	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029552_5	11	118	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029557_8	11	127	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029562_16	15	62	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029562_23	3	47	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029562_5	53	70	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029571_15	67	18	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029574_20	2	58	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029577_21	76	17	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029580_12	17	125	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029581_8	28	63	Human	Clostridia	Lachnospirales	Lachnospiraceae
